Date_Time,Is_Holiday,Holiday_Type,Month,Year,Weekday,Residual
2019-01-01 00:00:00,0,0,1,2019,1,12.157322191344733
2019-01-01 01:00:00,0,0,1,2019,1,6.402277719925891
2019-01-01 02:00:00,0,0,1,2019,1,4.677113399739199
2019-01-01 03:00:00,0,0,1,2019,1,4.750675557148668
2019-01-01 04:00:00,0,0,1,2019,1,4.747687362692346
2019-01-01 05:00:00,0,0,1,2019,1,6.439528236093835
2019-01-01 06:00:00,0,0,1,2019,1,0.0
2019-01-01 07:00:00,0,0,1,2019,1,0.0
2019-01-01 08:00:00,0,0,1,2019,1,0.0
2019-01-01 09:00:00,0,0,1,2019,1,0.0
2019-01-01 10:00:00,0,0,1,2019,1,19.80928250331783
2019-01-01 11:00:00,0,0,1,2019,1,13.33748657053816
2019-01-01 12:00:00,0,0,1,2019,1,2.222832775430817
2019-01-01 13:00:00,0,0,1,2019,1,12.00212641420579
2019-01-01 14:00:00,0,0,1,2019,1,4.235334650603235
2019-01-01 15:00:00,0,0,1,2019,1,2.165513803630091
2019-01-01 16:00:00,0,0,1,2019,1,1.7046193629713997
2019-01-01 17:00:00,0,0,1,2019,1,0.0
2019-01-01 18:00:00,0,0,1,2019,1,0.0
2019-01-01 19:00:00,0,0,1,2019,1,0.0
2019-01-01 20:00:00,0,0,1,2019,1,5.662923008705974
2019-01-01 21:00:00,0,0,1,2019,1,0.0
2019-01-01 22:00:00,0,0,1,2019,1,0.1738739825089794
2019-01-01 23:00:00,0,0,1,2019,1,5.446258259904454
2019-01-02 00:00:00,0,0,1,2019,2,0.0
2019-01-02 01:00:00,0,0,1,2019,2,2.447661899874646
2019-01-02 02:00:00,0,0,1,2019,2,2.2924623737643515
2019-01-02 03:00:00,0,0,1,2019,2,1.964755803769961
2019-01-02 04:00:00,0,0,1,2019,2,0.6300701430839695
2019-01-02 05:00:00,0,0,1,2019,2,5.913513775997373
2019-01-02 06:00:00,0,0,1,2019,2,4.397546200896471
2019-01-02 07:00:00,0,0,1,2019,2,9.947896027949083
2019-01-02 08:00:00,0,0,1,2019,2,0.0
2019-01-02 09:00:00,0,0,1,2019,2,13.784716999886411
2019-01-02 10:00:00,0,0,1,2019,2,0.0
2019-01-02 11:00:00,0,0,1,2019,2,0.1981804915552487
2019-01-02 12:00:00,0,0,1,2019,2,13.916909941013998
2019-01-02 13:00:00,0,0,1,2019,2,0.0
2019-01-02 14:00:00,0,0,1,2019,2,7.45315064212474
2019-01-02 15:00:00,0,0,1,2019,2,0.0
2019-01-02 16:00:00,0,0,1,2019,2,5.893384240506009
2019-01-02 17:00:00,0,0,1,2019,2,1.568282918297328
2019-01-02 18:00:00,0,0,1,2019,2,8.797399519107387
2019-01-02 19:00:00,0,0,1,2019,2,1.432503959398744
2019-01-02 20:00:00,0,0,1,2019,2,0.0
2019-01-02 21:00:00,0,0,1,2019,2,0.0
2019-01-02 22:00:00,0,0,1,2019,2,0.0
2019-01-02 23:00:00,0,0,1,2019,2,7.109901027000888
2019-01-03 00:00:00,0,0,1,2019,3,0.0
2019-01-03 01:00:00,0,0,1,2019,3,0.0
2019-01-03 02:00:00,0,0,1,2019,3,0.0
2019-01-03 03:00:00,0,0,1,2019,3,0.0
2019-01-03 04:00:00,0,0,1,2019,3,0.0
2019-01-03 05:00:00,0,0,1,2019,3,0.0
2019-01-03 06:00:00,0,0,1,2019,3,24.066417227958908
2019-01-03 07:00:00,0,0,1,2019,3,0.0
2019-01-03 08:00:00,0,0,1,2019,3,25.217826241591453
2019-01-03 09:00:00,0,0,1,2019,3,0.0
2019-01-03 10:00:00,0,0,1,2019,3,0.0
2019-01-03 11:00:00,0,0,1,2019,3,0.0
2019-01-03 12:00:00,0,0,1,2019,3,10.412551782294427
2019-01-03 13:00:00,0,0,1,2019,3,9.745285039510293
2019-01-03 14:00:00,0,0,1,2019,3,0.0
2019-01-03 15:00:00,0,0,1,2019,3,0.0
2019-01-03 16:00:00,0,0,1,2019,3,0.0
2019-01-03 17:00:00,0,0,1,2019,3,22.894848965615424
2019-01-03 18:00:00,0,0,1,2019,3,0.0
2019-01-03 19:00:00,0,0,1,2019,3,0.0
2019-01-03 20:00:00,0,0,1,2019,3,8.262819217384646
2019-01-03 21:00:00,0,0,1,2019,3,15.271519528307708
2019-01-03 22:00:00,0,0,1,2019,3,13.36528418474704
2019-01-03 23:00:00,0,0,1,2019,3,0.0
2019-01-04 00:00:00,0,0,1,2019,4,0.0
2019-01-04 01:00:00,0,0,1,2019,4,0.0
2019-01-04 02:00:00,0,0,1,2019,4,0.0
2019-01-04 03:00:00,0,0,1,2019,4,0.0
2019-01-04 04:00:00,0,0,1,2019,4,0.0
2019-01-04 05:00:00,0,0,1,2019,4,0.0
2019-01-04 06:00:00,0,0,1,2019,4,4.631596740687684
2019-01-04 07:00:00,0,0,1,2019,4,0.0
2019-01-04 08:00:00,0,0,1,2019,4,29.364770518467168
2019-01-04 09:00:00,0,0,1,2019,4,29.192830822115084
2019-01-04 10:00:00,0,0,1,2019,4,19.223858259004203
2019-01-04 11:00:00,0,0,1,2019,4,0.0
2019-01-04 12:00:00,0,0,1,2019,4,4.75806112404841
2019-01-04 13:00:00,0,0,1,2019,4,0.0
2019-01-04 14:00:00,0,0,1,2019,4,0.0
2019-01-04 15:00:00,0,0,1,2019,4,0.0
2019-01-04 16:00:00,0,0,1,2019,4,0.0
2019-01-04 17:00:00,0,0,1,2019,4,0.0
2019-01-04 18:00:00,0,0,1,2019,4,0.0
2019-01-04 19:00:00,0,0,1,2019,4,49.93726199570936
2019-01-04 20:00:00,0,0,1,2019,4,21.416926014610425
2019-01-04 21:00:00,0,0,1,2019,4,0.0
2019-01-04 22:00:00,0,0,1,2019,4,0.0
2019-01-04 23:00:00,0,0,1,2019,4,2.7776673727372128
2019-01-05 00:00:00,0,0,1,2019,5,0.0
2019-01-05 01:00:00,0,0,1,2019,5,0.0
2019-01-05 02:00:00,0,0,1,2019,5,0.0
2019-01-05 03:00:00,0,0,1,2019,5,0.0
2019-01-05 04:00:00,0,0,1,2019,5,0.0
2019-01-05 05:00:00,0,0,1,2019,5,0.0
2019-01-05 06:00:00,0,0,1,2019,5,9.930900624890173
2019-01-05 07:00:00,0,0,1,2019,5,1.146655455793777
2019-01-05 08:00:00,0,0,1,2019,5,0.0
2019-01-05 09:00:00,0,0,1,2019,5,0.0
2019-01-05 10:00:00,0,0,1,2019,5,0.0
2019-01-05 11:00:00,0,0,1,2019,5,4.801422299713209
2019-01-05 12:00:00,0,0,1,2019,5,0.0
2019-01-05 13:00:00,0,0,1,2019,5,0.0
2019-01-05 14:00:00,0,0,1,2019,5,0.0
2019-01-05 15:00:00,0,0,1,2019,5,0.0
2019-01-05 16:00:00,0,0,1,2019,5,21.08990679969932
2019-01-05 17:00:00,0,0,1,2019,5,11.40464487133066
2019-01-05 18:00:00,0,0,1,2019,5,47.8008497946571
2019-01-05 19:00:00,0,0,1,2019,5,41.307250698607206
2019-01-05 20:00:00,0,0,1,2019,5,0.0
2019-01-05 21:00:00,0,0,1,2019,5,19.24050622816064
2019-01-05 22:00:00,0,0,1,2019,5,4.775218073958683
2019-01-05 23:00:00,0,0,1,2019,5,5.224700217328035
2019-01-06 00:00:00,0,0,1,2019,6,11.210311390862742
2019-01-06 01:00:00,0,0,1,2019,6,6.121689372144488
2019-01-06 02:00:00,0,0,1,2019,6,8.331321309085467
2019-01-06 03:00:00,0,0,1,2019,6,9.775981741652004
2019-01-06 04:00:00,0,0,1,2019,6,10.850467504117988
2019-01-06 05:00:00,0,0,1,2019,6,8.430452392356912
2019-01-06 06:00:00,0,0,1,2019,6,0.0
